,Former Atlanta Falcons player Justin Crawford has been charged with aggravated child molestation and sodomy https://t.co/Acx34d7D4T,Tue Oct 16 11:16:31 +0000 2018,34280715,False,False.1,0,Unnamed: 6,Unnamed: 7,Unnamed: 8,[],[].1,Unnamed: 11,"Watch FOX 17 News Nashville at 5:30 p.m., 9 p.m. and 10 p.m. and FOX 17 This Morning weekdays from 4 a.m.–9 a.m.",7627,73860,Unnamed: 15,3988,en,919,"Nashville, TN",149323,[].2
1979769,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:38 +0000 2018,904733427949293570,False,False,9,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Editor of @LawLiberty and host of LibertyLawTalk; Editor of Seeking the Truth: An Orestes Brownson Anthology. Opinions my own.,378,677,,178,en,13,,3149,[]
1979898,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:43:33 +0000 2018,832441166058500096,False,False,219,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Hydrogen, Helium, Lithium - 123",45705,492,,500,en,6,"Washington, USA",42499,[]
1980264,RT @SteveGWSB: Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,Tue Oct 16 11:42:45 +0000 2018,3128005156,False,False,2,1397996060.0,Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,False,[],"[{'screen_name': 'SteveGWSB', 'name': 'Steve Gehlbach', 'id': 1397996060, 'id_str': '1397996060', 'indices': [3, 13]}]",,"Music,gamer, nerd , techie",159645,1011,,651,en,415,,100060,[]
1980301,"RT @IsaacHayes3: Georgia, Early Voting for @staceyabrams starts today in Ga.

HERE’S WHERE YOU CAN GO VOTE EARLY IN ATLANTA. #WeReadyGa 

F…",Tue Oct 16 11:42:42 +0000 2018,636647978,False,False,13,16725256.0,"Georgia, Early Voting for @staceyabrams starts today in Ga.

HERE’S WHERE YOU CAN GO VOTE EARLY IN ATLANTA.… https://t.co/KbOryRkOuE",True,"[{'text': 'WeReadyGa', 'indices': [125, 135]}]","[{'screen_name': 'IsaacHayes3', 'name': 'Isaac Hayes III', 'id': 16725256, 'id_str': '16725256', 'indices': [3, 15]}, {'screen_name': 'staceyabrams', 'name': 'Stacey Abrams', 'id': 216065430, 'id_str': '216065430', 'indices': [43, 56]}]",,Marketing and Sales Consultant,80122,1035,,2450,en,40,Albuquerque,74844,['WeReadyGa']
1984649,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:25 +0000 2018,869870810,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Old Possum's Book of Practical Cats,162282,418,,416,en-gb,42,,187100,[]
1984651,Digital Learning Day @cilcorg Visiting: @CenterForPuppetry in Atlanta: spiders; @GreenvilleZoo; @DenverMuseum;… https://t.co/ZDNDlCNMCN,Tue Oct 16 11:44:25 +0000 2018,138809336,True,False,0,,,,[],"[{'screen_name': 'cilcorg', 'name': 'CILC', 'id': 17316534, 'id_str': '17316534', 'indices': [21, 29]}, {'screen_name': 'greenvillezoo', 'name': 'Greenville Zoo', 'id': 89538047, 'id_str': '89538047', 'indices': [80, 94]}]",,Bulldog news you need to know.,2563,439,,137,en,14,"Rural Hall, NC",1734,[]
1984654,"#Abracadabra #OpenSesame #10X
On Hard📈
A'mor Shanee'
#AmorShanee
#Detroit #LosAngeles #NewOrleans #Dallas #Chicago… https://t.co/F2iO4SvpmA",Tue Oct 16 11:44:24 +0000 2018,507432009,True,False,0,,,,"[{'text': 'Abracadabra', 'indices': [0, 12]}, {'text': 'OpenSesame', 'indices': [13, 24]}, {'text': '10X', 'indices': [25, 29]}, {'text': 'AmorShanee', 'indices': [53, 64]}, {'text': 'Detroit', 'indices': [65, 73]}, {'text': 'LosAngeles', 'indices': [74, 85]}, {'text': 'NewOrleans', 'indices': [86, 97]}, {'text': 'Dallas', 'indices': [98, 105]}, {'text': 'Chicago', 'indices': [106, 114]}]",[],,"New Ep ""Moon Shine"" now available! https://t.co/NuPuBKqZ7n",2249,5810,,3620,en,13,"Detroit, MI",29356,"['Abracadabra', 'OpenSesame', '10X', 'AmorShanee', 'Detroit', 'LosAngeles', 'NewOrleans', 'Dallas', 'Chicago']"
1984714,"RT @ArtsATLcom: =Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look as a way…",Tue Oct 16 11:44:07 +0000 2018,1174827464,False,False,5,493495992.0,"=Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look a… https://t.co/dALrPtUt7W",True,[],"[{'screen_name': 'ArtsATLcom', 'name': 'ArtsATL', 'id': 493495992, 'id_str': '493495992', 'indices': [3, 14]}, {'screen_name': 'ti', 'name': 'santiago akle', 'id': 2293483700, 'id_str': '2293483700', 'indices': [27, 30]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123120,1966,,3933,en,148,Mars #DevilsPeak,173153,[]
1984739,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:00 +0000 2018,564537476,False,False,7,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Associate Director of James @MadisonProgram & Politics Lecturer @Princeton. Senior Fellow @WitherspoonInst. Professor Emeritus of Political Science @RadfordU.,7623,3883,,634,en,103,"Princeton, NJ",20901,[]
1984753,RT @kltruecolors: Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On Wednes…,Tue Oct 16 11:44:00 +0000 2018,1174827464,False,False,2,28354637.0,Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On… https://t.co/g3XvPfywN2,True,[],"[{'screen_name': 'kltruecolors', 'name': 'True Colors Theatre', 'id': 28354637, 'id_str': '28354637', 'indices': [3, 16]}, {'screen_name': 'ElevateAtl', 'name': 'ELEVATE Atlanta', 'id': 278130434, 'id_str': '278130434', 'indices': [28, 39]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123120,1966,,3933,en,148,Mars #DevilsPeak,173153,[]
1985144,"RT @ABC: In his old neighborhood, where home prices have skyrocketed due to gentrification, T.I. is on a mission to buy and flip as many bu…",Tue Oct 16 11:43:21 +0000 2018,58643745,False,False,8972,28785486.0,"In his old neighborhood, where home prices have skyrocketed due to gentrification, T.I. is on a mission to buy and… https://t.co/lA23Ae3ukr",True,[],"[{'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [3, 7]}]",,,14769,657,,358,en,12,New York ,46405,[]
1985278,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,Tue Oct 16 11:43:08 +0000 2018,997428386,True,False,11,,,,[],[],,Book Author: https://t.co/GCeNrFNFxa; Senior Research Fellow @Heritage; Founder/Editor @PublicDiscourse; Graduate @Princeton (AB) and @NotreDame (MA PhD),10329,29404,,491,en,653,,23309,[]
1985428,RT @SteveGWSB: Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,Tue Oct 16 11:42:45 +0000 2018,3128005156,False,False,2,1397996060.0,Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,False,[],"[{'screen_name': 'SteveGWSB', 'name': 'Steve Gehlbach', 'id': 1397996060, 'id_str': '1397996060', 'indices': [3, 13]}]",,"Music,gamer, nerd , techie",159646,1011,,651,en,415,,100060,[]
1988926,"RT @Blk_Hermione: BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo Black…",Tue Oct 16 11:39:08 +0000 2018,872563312394870785,False,False,773,1.0367428259188777e+18,"BREAKING: This happened today at the Cumberland Mall, Atlanta. Look how this racist cop armlocked, tortured a 12-yo… https://t.co/xNm8LZj3e5",True,[],"[{'screen_name': 'Blk_Hermione', 'name': '\U0001f9d9🏾\u200d♀️💫', 'id': 1036742825918877696, 'id_str': '1036742825918877696', 'indices': [3, 16]}]",,"Interests: Church vs. Nationalism, Jesus & Justice, Kaepernick, Paul Robeson, BLM. Trekker. Motto: Love people ❤️",12375,394,,80,en,4,Astrometrics Lab Deck 8,11956,[]
1989699,Award Winners - October 22nd TCA Lunch w/ Verne Lundquist - https://t.co/JauHNORPiD,Tue Oct 16 11:44:26 +0000 2018,24701273,False,False,0,,,,[],[],,"Supporting High School FB in the state of GA & USA. Home of Mr. Georgia Football, Bobby Dodd National HS P.O.Y. & P.O.W. Awards. $700k+ in scholarships awarded.",1740,2688,,4994,en,38,Atlanta,3591,[]
1989701,"@929TheGame Yes, why not? One team in this city needs to make a big move like this. Atlanta is the only city where… https://t.co/BsHAiX1xaW",Tue Oct 16 11:44:26 +0000 2018,53379392,True,False,0,,,,[],"[{'screen_name': '929TheGame', 'name': '92.9 The Game', 'id': 846202338, 'id_str': '846202338', 'indices': [0, 11]}]",,,178,12,,59,en,0,ATL,411,[]
1989719,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:20 +0000 2018,816330078896459776,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,,14254,102,,441,en,2,,28922,[]
1989789,"RT @ArtsATLcom: =Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look as a way…",Tue Oct 16 11:44:07 +0000 2018,1174827464,False,False,5,493495992.0,"=Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look a… https://t.co/dALrPtUt7W",True,[],"[{'screen_name': 'ArtsATLcom', 'name': 'ArtsATL', 'id': 493495992, 'id_str': '493495992', 'indices': [3, 14]}, {'screen_name': 'ti', 'name': 'santiago akle', 'id': 2293483700, 'id_str': '2293483700', 'indices': [27, 30]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123121,1966,,3933,en,148,Mars #DevilsPeak,173154,[]
1989818,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:00 +0000 2018,564537476,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Associate Director of James @MadisonProgram & Politics Lecturer @Princeton. Senior Fellow @WitherspoonInst. Professor Emeritus of Political Science @RadfordU.,7623,3883,,634,en,103,"Princeton, NJ",20901,[]
1989834,RT @kltruecolors: Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On Wednes…,Tue Oct 16 11:44:00 +0000 2018,1174827464,False,False,2,28354637.0,Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On… https://t.co/g3XvPfywN2,True,[],"[{'screen_name': 'kltruecolors', 'name': 'True Colors Theatre', 'id': 28354637, 'id_str': '28354637', 'indices': [3, 16]}, {'screen_name': 'ElevateAtl', 'name': 'ELEVATE Atlanta', 'id': 278130434, 'id_str': '278130434', 'indices': [28, 39]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123121,1966,,3933,en,148,Mars #DevilsPeak,173154,[]
1989908,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:52 +0000 2018,1046906136866279424,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,The Economics of Recovery/On the Left Wing of the #MAGA movement.,3313,247,,317,en,1,"Atlanta, GA",1085,[]
1989974,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:38 +0000 2018,904733427949293570,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Editor of @LawLiberty and host of LibertyLawTalk; Editor of Seeking the Truth: An Orestes Brownson Anthology. Opinions my own.,378,677,,178,en,13,,3149,[]
1990023,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:34 +0000 2018,20729667,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Conservative idealist by day; Radiologist by night. Fascinated with discussions on education and health policy. Expert on all things re: Apu Nahasapeemapetilon.,117747,16628,,2973,en,345,United States,203208,[]
1990049,Honestly my favorite song on East Atlanta Love Letter😭😭 https://t.co/oqwHqYs1rd,Tue Oct 16 11:43:33 +0000 2018,814123515507044353,False,False,0,,,,[],[],,- @Kingasbenze’s PR Manager👑 // i'm really just an average girl🌻 // music is my boyfriend. aubrey is my husband. // ig: @twinkle.pixie_🥤// omnivert🌸,850,237,,330,en,0,on the internet.,4682,[]
1990226,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:25 +0000 2018,15799771,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,"philosopher, author, professor The Catholic University of America; wife @CRPakaluk; music, golf, tennis, mountains, coffee; Aristotle, Thomas, Newman",682,625,,65,en,5,"Washington, DC",731,[]
1990559,RT @SteveGWSB: Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,Tue Oct 16 11:42:45 +0000 2018,3128005156,False,False,2,1397996060.0,Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,False,[],"[{'screen_name': 'SteveGWSB', 'name': 'Steve Gehlbach', 'id': 1397996060, 'id_str': '1397996060', 'indices': [3, 13]}]",,"Music,gamer, nerd , techie",159647,1011,,651,en,415,,100060,[]
1991909,"RT @BoringEnormous: When life gives you lemons, DON'T EAT THE LEMONS, GARY https://t.co/PhDr7dmStv",Tue Oct 16 11:40:55 +0000 2018,1976121229,False,False,5889,20538843.0,"When life gives you lemons, DON'T EAT THE LEMONS, GARY https://t.co/PhDr7dmStv",False,[],"[{'screen_name': 'BoringEnormous', 'name': 'Paul Bronks', 'id': 20538843, 'id_str': '20538843', 'indices': [3, 18]}]",,"If it looks like I broke my face, I did.
I work with glass and find beauty in everything. Georgia born, Indiana raised. Probably looking for my keys.

#riseup",5005,180,,1428,en,2,Fort Wayne,4459,[]
1994749,RT @javonstone: ATL Fashion ✨ https://t.co/7FUU3igz4a,Tue Oct 16 11:44:30 +0000 2018,2742936927,False,False,1,2742936927.0,ATL Fashion ✨ https://t.co/7FUU3igz4a,False,[],"[{'screen_name': 'javonstone', 'name': 'Teal j Stone', 'id': 2742936927, 'id_str': '2742936927', 'indices': [3, 14]}]",,,2268,2140,,802,en,12,"Orlando, FL",5745,[]
1994793,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:16 +0000 2018,2842970612,False,False,10,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Matthew 16:26 ~ My Heritage is among the Sanctified. Unwavering Defender of (I LOVE) ISRAEL. African American. #COGIC #IsraelinAfrica #HereWeGo #RollTide,21385,252,,125,en,25,,26477,[]
1994803,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:14 +0000 2018,1424807664,False,False,10,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Theologian,181,22,,136,en,0,Spain,136,[]
1994814,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:13 +0000 2018,461759120,False,False,10,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,"Christian, husband, dadx3. Senior Fellow, Free Speech & Toleration @CKInstitute. Senior Judicial Fellow, @AFPhq. Roll Tide. Wahoowa. Views mine.",25237,8220,,3033,en,184,"Fairfax Station, VA",52908,[]
1994853,"RT @ArtsATLcom: =Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look as a way…",Tue Oct 16 11:44:07 +0000 2018,1174827464,False,False,5,493495992.0,"=Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look a… https://t.co/dALrPtUt7W",True,[],"[{'screen_name': 'ArtsATLcom', 'name': 'ArtsATL', 'id': 493495992, 'id_str': '493495992', 'indices': [3, 14]}, {'screen_name': 'ti', 'name': 'santiago akle', 'id': 2293483700, 'id_str': '2293483700', 'indices': [27, 30]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123121,1966,,3933,en,148,Mars #DevilsPeak,173155,[]
1994901,RT @kltruecolors: Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On Wednes…,Tue Oct 16 11:44:00 +0000 2018,1174827464,False,False,2,28354637.0,Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On… https://t.co/g3XvPfywN2,True,[],"[{'screen_name': 'kltruecolors', 'name': 'True Colors Theatre', 'id': 28354637, 'id_str': '28354637', 'indices': [3, 16]}, {'screen_name': 'ElevateAtl', 'name': 'ELEVATE Atlanta', 'id': 278130434, 'id_str': '278130434', 'indices': [28, 39]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123121,1966,,3933,en,148,Mars #DevilsPeak,173155,[]
1995099,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:43:34 +0000 2018,20729667,False,False,10,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Conservative idealist by day; Radiologist by night. Fascinated with discussions on education and health policy. Expert on all things re: Apu Nahasapeemapetilon.,117747,16628,,2973,en,345,United States,203208,[]
1995414,I did not miss ATL traffic.,Tue Oct 16 11:43:17 +0000 2018,59211816,False,False,0,,,,[],[],,i kind of like sports. tx born. atl raised. honorary brat pack member.,42355,685,,475,en,12,"Atlanta, GA",43810,[]
1995651,RT @SteveGWSB: Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,Tue Oct 16 11:42:45 +0000 2018,3128005156,False,False,2,1397996060.0,Very cool looking cloudy morning at the justice center in downtown Atlanta https://t.co/arPn9FwYCv,False,[],"[{'screen_name': 'SteveGWSB', 'name': 'Steve Gehlbach', 'id': 1397996060, 'id_str': '1397996060', 'indices': [3, 13]}]",,"Music,gamer, nerd , techie",159647,1011,,651,en,415,,100061,[]
1995924,"RT @MarilynRMarks1: GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this rep…",Tue Oct 16 11:42:27 +0000 2018,845721979974008832,False,False,77,3081301976.0,"GA SOS and St. Elex. Bd claims that voting machines are secured by ""robust physical security."" Uh-huh. See how this… https://t.co/BmQJxRUSMN",True,[],"[{'screen_name': 'MarilynRMarks1', 'name': 'Marilyn Marks', 'id': 3081301976, 'id_str': '3081301976', 'indices': [3, 18]}]",,,7239,84,,247,en,0,,21725,[]
1999808,RT @RyanTAnd: Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marriage as unio…,Tue Oct 16 11:44:25 +0000 2018,869870810,False,False,11,997428386.0,Remember when the city of Atlanta fired their fire chief because he wrote a book that had one page defending marria… https://t.co/ljkFuMs19P,True,[],"[{'screen_name': 'RyanTAnd', 'name': 'Ryan T. Anderson', 'id': 997428386, 'id_str': '997428386', 'indices': [3, 12]}]",,Old Possum's Book of Practical Cats,162283,418,,416,en-gb,42,,187101,[]
1999834,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:44:19 +0000 2018,29521066,False,False,221,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Songwriter✍🏾, Producer🎹, @Berkleecollege Alum. Worked with Teddy Riley Dj Toomp Drumma Boy & more #205 #AAMU #RollTide mgmt contact @cgemtalent",11271,4330,,2737,en,61,Boston✈️ ALABAMA✈️Atlanta 6,141150,[]
1999903,"RT @ArtsATLcom: =Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look as a way…",Tue Oct 16 11:44:07 +0000 2018,1174827464,False,False,5,493495992.0,"=Thanks to @TI and Atlanta-based muralist Austin Blue, a building at Westgate Shopping Center will get a new look a… https://t.co/dALrPtUt7W",True,[],"[{'screen_name': 'ArtsATLcom', 'name': 'ArtsATL', 'id': 493495992, 'id_str': '493495992', 'indices': [3, 14]}, {'screen_name': 'ti', 'name': 'santiago akle', 'id': 2293483700, 'id_str': '2293483700', 'indices': [27, 30]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123122,1966,,3933,en,148,Mars #DevilsPeak,173155,[]
1999951,RT @kltruecolors: Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On Wednes…,Tue Oct 16 11:44:00 +0000 2018,1174827464,False,False,2,28354637.0,Check out @ElevateAtl's line up of amazing arts and culture events taking place this week in Southwest Atlanta! On… https://t.co/g3XvPfywN2,True,[],"[{'screen_name': 'kltruecolors', 'name': 'True Colors Theatre', 'id': 28354637, 'id_str': '28354637', 'indices': [3, 16]}, {'screen_name': 'ElevateAtl', 'name': 'ELEVATE Atlanta', 'id': 278130434, 'id_str': '278130434', 'indices': [28, 39]}]",,"#BlackBottleBoy #MMG #RichHairCare #Wingstop #LucBelaire #CheckersRally #GrandHustleBET #TrapMuzik 
 https://t.co/dRKHXqhwVh 👑❤️🙏",123122,1966,,3933,en,148,Mars #DevilsPeak,173155,[]
2000123,Customs beagle named Hardy detects roasted pig’s head in luggage at Atlanta airport https://t.co/PeN4rXSQgw https://t.co/FSZFtL3dT3,Tue Oct 16 11:43:36 +0000 2018,997967975587164160,False,False,0,,,,[],[],,,0,13490,,1963,en,33,United States,196,[]
2000263,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:43:33 +0000 2018,832441166058500096,False,False,221,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,"Hydrogen, Helium, Lithium - 123",45705,492,,500,en,6,"Washington, USA",42499,[]
2001283,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:41:47 +0000 2018,757509986,False,False,221,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,,19044,88,,120,en,0,,19753,[]
2002354,RT @AP: Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a woman resembling…,Tue Oct 16 11:40:36 +0000 2018,432111253,False,False,221,51241574.0,Melania Trump's spokeswoman calls for boycott of T.I. after the Atlanta rapper released a music video that shows a… https://t.co/8OrMoGfmv2,True,[],"[{'screen_name': 'AP', 'name': 'The Associated Press', 'id': 51241574, 'id_str': '51241574', 'indices': [3, 6]}]",,3 kids and a wife. Trump supporter. militarist.,36821,182,,199,en,1,,9538,[]
2002724,RT @shereeny: a former sunday riley employee says the brand makes employees write fake sephora reviews with detailed instructions on using…,Tue Oct 16 11:40:11 +0000 2018,3000786645,False,False,110,612159362.0,a former sunday riley employee says the brand makes employees write fake sephora reviews with detailed instructions… https://t.co/PhVWbdUeUt,True,[],"[{'screen_name': 'shereeny', 'name': 'shereen', 'id': 612159362, 'id_str': '612159362', 'indices': [3, 12]}]",,God-fearing and God-loving. Anti-law school evangelist. ISFJ. Recovering  undercover over-lover. I like to do nerdy stuff with my friends.,176,86,,1516,en,0,East Atlanta,5271,[]
